utc_time,x_error (m),y_error  (m),z_error (m),satclockerror (m),y_error (m)
2025-09-01 14:00:00,-0.765883333,0.671543743,0.434251402,-0.183988567,
2025-09-01 15:00:00,-0.568186091,0.392190874,0.63784356,-0.159422194,
2025-09-01 16:00:00,-0.535862128,0.17431926,0.723322887,0.035761103,
2025-09-01 17:00:00,-0.641199774,-0.205228955,0.718194996,-0.077574236,
2025-09-01 18:00:00,-0.638888152,-0.396329347,0.475825153,0.161143483,
2025-09-01 19:00:00,-0.77436263,-0.474094689,0.207774427,0.13862766,
2025-09-01 20:00:00,-0.837601373,-0.584908968,-0.216711007,-0.060440918,
2025-09-02 17:00:00,-0.335357651,0.60487498,0.674362661,-0.034781471,
2025-09-02 18:00:00,-0.412536055,0.306909334,0.719623885,-0.302436957,
2025-09-02 19:00:00,-0.702044664,0.075185154,0.676095143,-0.314214604,
2025-09-02 20:00:00,-0.775892772,-0.037073866,0.430691566,0.475854393,
2025-09-02 21:00:00,-0.89035907,-0.0501773,0.154487155,0.104091569,
2025-09-02 22:00:00,-1.058336398,-0.200725934,-0.358076125,0.008388643,
2025-09-02 23:00:00,-0.839232033,-0.254772935,-0.675063701,-0.101061387,
2025-09-03 10:11:00,-0.026799934,,0.078432899,0.008539498,0.073631655
2025-09-03 10:21:00,-0.085093127,,0.082895838,-0.006356499,0.038818173
2025-09-03 10:31:00,-0.098011992,,0.114348378,0.01109373,0.039264336
2025-09-03 10:41:00,-0.107813045,,0.132517305,-0.006356499,0.054687735
2025-09-03 10:51:00,-0.06251346,,0.072510837,-0.006356499,0.02046125
2025-09-03 11:01:00,-0.067049238,,0.118077869,-0.006356499,0.051798817
2025-09-03 11:57:00,-0.469946869,,0.660201441,-0.014332238,0.044073656
2025-09-03 12:01:00,-0.099226913,,0.093226715,-0.006356499,-0.029361427
2025-09-03 12:11:00,-0.047000158,,0.122662981,0.01109373,-0.011954684
2025-09-03 12:21:00,-0.094760614,,0.10518468,-0.006356499,-0.023004327
2025-09-03 13:20:00,-0.571787328,,0.385933068,0.090369049,-0.114417512
2025-09-03 13:21:00,-0.260877719,,0.16027372,0.023435466,-0.091754563
2025-09-03 13:31:00,0.034080828,,0.105749086,-0.014019165,-0.087099403
2025-09-03 13:41:00,-0.166154541,,0.06385389,0.023435466,-0.051300939
2025-09-03 13:51:00,-0.196628107,,0.065460388,-0.011464963,-0.07414658
2025-09-03 14:01:00,-0.165072372,,0.02148753,-0.011464963,-0.045122795
2025-09-03 14:11:00,-0.173809274,,0.086149931,-0.011464963,-0.136914536
2025-09-03 15:26:00,-1.121684754,,-0.251508862,-0.027904022,-0.35136563
2025-09-03 15:31:00,-0.159982871,,-0.057381164,-0.046365422,-0.08785478
2025-09-03 15:41:00,-0.166797161,,-0.064707786,-0.028915162,-0.088235419
2025-09-03 15:51:00,-0.176098157,,-0.122549303,-0.046365392,-0.082430024
2025-09-03 19:00:00,-0.03383898,0.690224383,0.73809742,-0.353027114,
2025-09-03 20:00:00,-0.331164595,0.460334195,0.754296971,-0.111867706,
2025-09-03 21:00:00,-0.624093685,0.323578008,0.595941585,0.037838455,
2025-09-03 22:00:00,-0.701466771,0.318061659,0.393948879,0.234829681,
2025-09-03 23:00:00,-0.831473549,0.344608024,0.078566089,0.173892457,
2025-09-04 00:00:00,-0.967762081,0.272608705,-0.46438418,0.115396922,
2025-09-04 01:00:00,-0.856967132,0.126926705,-0.764487924,-0.097418698,
2025-09-04 02:00:00,-0.663020635,-0.150727611,-0.862879188,-0.210255003,
2025-09-04 17:47:00,-0.539619543,,0.439555116,0.03378673,0.409925637
2025-09-04 17:51:00,-0.145059071,,0.067882702,-0.008910731,0.132950215
2025-09-04 18:01:00,-0.211467613,,0.098722767,-0.026360931,0.106881801
2025-09-04 18:11:00,-0.195682641,,0.057213813,-0.008910731,0.186074456
2025-09-04 19:15:00,-0.700526601,,-0.000603687,0.03378673,0.576058736
2025-09-04 19:21:00,-0.119074706,,0.011466771,-0.058707128,0.014814829
2025-09-04 20:35:00,-0.561356336,,-0.435082704,0.007855192,0.534204077
2025-09-04 20:41:00,-0.187609674,,-0.189741187,-0.02123451,0.112088744
2025-09-04 20:51:00,-0.113190185,,-0.111615494,-0.056134909,0.030456159
2025-09-04 21:59:00,-0.482253073,,-0.548191147,-0.077181149,0.1169241
2025-09-04 22:01:00,-0.137998149,,-0.184002347,0.038778844,0.037673879
2025-09-04 22:11:00,-0.191218025,,-0.242282348,0.036224642,0.019640166
2025-09-04 22:21:00,-0.117626876,,-0.159829679,0.016220181,0.033380453
2025-09-04 23:00:00,-0.45314458,0.637766904,0.575132627,0.007187674,
2025-09-04 23:30:00,-0.510722465,,-0.723215692,0.079870827,-0.229274567
2025-09-04 23:31:00,-0.12898493,,-0.131789273,-0.00378428,-0.07481128
2025-09-04 23:41:00,-0.149323838,,-0.172971306,0.013665949,-0.086206459
2025-09-04 23:51:00,-0.244710792,,-0.167883614,0.013665919,-0.122379158
2025-09-05 00:00:00,-0.517121889,0.632788374,0.33881541,0.313628899,
2025-09-05 01:00:00,-0.656200007,0.738374509,-0.022809725,0.112118632,
2025-09-05 02:00:00,-0.522071518,0.627076853,-0.604027957,0.102014217,
2025-09-05 03:00:00,-0.692386397,0.468869142,-0.794989448,-0.042943231,
2025-09-05 04:00:00,-0.579470006,0.072540816,-0.867343003,-0.245654497,
2025-09-05 05:00:00,-0.637818535,-0.19533556,-0.761436984,-0.034174481,
2025-09-05 23:46:00,0.173257452,,-0.247954343,-0.142840284,0.935233889
2025-09-05 23:51:00,0.014136072,,-0.009266581,0.001324183,0.098720933
